2026-06-29 09:14:47,893 | INFO    | LoginPage | navigate -> https://www.ebay.com
2026-06-29 09:14:50,693 | INFO    | LoginPage | confirmed guest session (no sign-in detected)
2026-06-29 09:14:50,693 | INFO    | SearchPage | navigate -> https://www.ebay.com
2026-06-29 09:14:55,786 | INFO    | SearchPage | search opened for query='shoes'
2026-06-29 09:14:59,643 | INFO    | SearchPage | applied max price filter: 220
2026-06-29 09:15:04,185 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/276645701187
2026-06-29 09:15:06,772 | INFO    | ItemPage | no variant selectors found, skipping
2026-06-29 09:15:10,111 | INFO    | ItemPage | added item 276645701187 to cart
2026-06-29 09:15:11,708 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/178064614857
2026-06-29 09:15:13,286 | INFO    | ItemPage | no variant selectors found, skipping
2026-06-29 09:15:15,681 | INFO    | ItemPage | added item 178064614857 to cart
2026-06-29 09:15:17,249 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/276680987037
2026-06-29 09:15:18,853 | INFO    | ItemPage | no variant selectors found, skipping
2026-06-29 09:15:22,081 | INFO    | ItemPage | added item 276680987037 to cart
2026-06-29 09:15:23,201 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/276829269813
2026-06-29 09:15:24,982 | INFO    | ItemPage | no variant selectors found, skipping
2026-06-29 09:15:27,809 | INFO    | ItemPage | added item 276829269813 to cart
2026-06-29 09:15:28,669 | INFO    | ItemPage | navigate -> https://www.ebay.com/itm/236305831395
2026-06-29 09:15:31,197 | INFO    | ItemPage | selected variant 1/2: 'Purple Line' in listbox nid-nco-30
2026-06-29 09:15:31,886 | INFO    | ItemPage | selected variant 2/2: 'UK 3-4（EU 36-37）' in listbox nid-nco-20
2026-06-29 09:15:34,213 | INFO    | ItemPage | added item 236305831395 to cart
2026-06-29 09:15:36,011 | INFO    | CartPage | navigate -> https://cart.ebay.com
